,Тип исследовании(Панел),Показатели UZ,Показатели RU,Long common name,LOINC,Natija, Norma
lab-pan-R,,SIydik shakliy elementlar soni tahlili,Исследование подсчета образцов мочи,Urine elemental count analysis,,,
lab-pan-366,,Leykositlar,Лейкоциты в моче (тест-полоска),Leukocytes [#/volume] in Urine by Test strip,20408-1,,
lab-pan-367,,Eritrositlar,Эритроциты в моче (тест-полоска),Erythrocytes [#/volume] in Urine by Test strip,20409-9,,
lab-pan-368,,Silindrlar,Цилиндры в осадке мочи,Casts [#/area] in Urine sediment,105894-0,,
