,Тип исследовании,Показатели UZ,Показатели RU,Long common name,LOINC
lab-pan-O,,"Antistreptolizin-0, S- reaktiv oqsili va
revmatoid omiliga qonni tekshirish tahlili","Анализ крови на антистрептолизин-О, С-реактивный белок и ревматоидный фактор","Blood analysis for antistreptolysin-0, S-reactive protein and rheumatoid factor",
lab-pan-322,,S-reyeaktiv oqsil,С-реактивный белок (CRP),C reactive protein [Presence] in Serum or Plasma,	11039-5
lab-pan-323,,Revmotoid omili,Ревматоидный фактор (RF),Rheumatoid factor [Presence] in Serum,	33910-1
lab-pan-324,,Antistriptolizin-O,Антистрептолизин-O (ASO),"
Streptolysin O Ab [Presence] in Serum",9788-1
