lab-pan-108,,Barcha neurofil elementlar (Neu#),Абсолютное количество нейтрофилов (Neu#),Neutrophils [#/volume] in Blood by Automated count,751-8,10^9/L,"2,00 - 7,00"
lab-pan-109,,Limfotsitlar soni (Lym#),Абсолютное количество лимфоцитов (Lym#),Lymphocytes [#/volume] in Blood by Automated count,731-0,10^9/L,"0,80 - 4,00"
lab-pan-110,,Monotsitlar soni (Mon#),Абсолютное количество моноцитов (Mon#),Monocytes [#/volume] in Blood by Automated count,"Automated count
742-7",10^9/L,"0,12 - 1,20"
lab-pan-111,,Eozinofillar soni (Eos#),Абсолютное количество эозинофилов (Eos#),Eosinophils [#/volume] in Blood by Automated count,711-2,10^9/L,"0,02 - 0,50"
lab-pan-112,,Bazofillar soni (Bas#),Абсолютное количество базофилов (Bas#),Basophils [#/volume] in Blood by Automated count,704-7,10^9/L,"0,00 - 0,10"
lab-pan-113,,Neytrofillar yetilish indeksi (Neu%),Нейтрофилы (Neu%),Neutrophils/100 leukocytes in Blood by Automated count,770-8,%,"50,0 - 70,0"
lab-pan-114,,Limfotsitlar (Lym%) ,Лимфоциты (Lym%),Lymphocytes/100 leukocytes in Blood by Automated count,736-9,%,"20,0 - 40,0"
lab-pan-115,,Monositlar (Mon%),Моноциты (Mon%),Monocytes/100 leukocytes in Blood by Automated count,5905-5,%,"3,0 - 12,0"
lab-pan-116,,Eozinofillar (Eos%),Эозинофилы (Eos%),Eosinophils/100 leukocytes in Blood by Automated count,713-8,%,"0,5 - 5,0"
lab-pan-117,,Bazofillar (Bas%),Базофилы (Bas%),Basophils/100 leukocytes in Blood by Automated count,706-2,%,"0,0 - 1,0"
lab-pan-118,,Eritrotsitlar (RBC),Эритроциты (RBC),Erythrocytes [#/volume] in Blood by Automated count,789-8,10^12/L,"3,50 - 5,00"
lab-pan-119,,Gemoglobin (HGB),Гемоглобин (HGB),Hemoglobin [Mass/volume] in Blood,718-7,g/L,110-150
lab-pan-120,,Gematokrit (HCT),Гематокрит (HCT),Hematocrit [Volume Fraction] of Blood by Automated count,4544-3,%,"37,0 - 47,0"
lab-pan-121,,Eritrotsit o'rtacha hajmi (MCV),Средний объем эритроцита (MCV),MCV [Entitic volume] by Automated count,787-2,fL,"80,0 - 100,0"
lab-pan-122,,1 dona eritrotsitdagi gemoglobinning miqdori (MCH),Среднее содержание гемоглобина в эритроците (MCH),MCH [Entitic mass] by Automated count,785-6,pg,"27,0 - 34,0"
lab-pan-123,,Eritrotsitdagi gemoglobin konsentratsiyasi (MCHC),Средняя концентрация гемоглобина в эритроците (MCHC),MCHC [Mass/volume] by Automated count,786-4,g/L,320 - 360
lab-pan-124,,Eritrotsitlar anizotsitozi (RDW-CV),Ширина распределения эритроцитов по объему (RDW-CV),Erythrocyte distribution width (RDW-CV) [Ratio] by Automated count,788-0,%,"11,0 - 16,0"
lab-pan-125,,Eritrotsit hajmi standart og‘ishi (RDW-SD),Стандартное отклонение распределения эритроцитов по объему (RDW-SD),Erythrocyte distribution width (RDW-SD) [Entitic volume] by Automated count,21000-5,fL,"35,0 -56,0"
lab-pan-126,,Trombotsitlar (PLT),Тромбоциты (PLT),Platelets [#/volume] in Blood by Automated count,777-3,10^9/L,180 - 320
lab-pan-127,,Trombotsitlar o'rtacha hajmi (MPV),Средний объем тромбоцитов (MPV),Mean platelet volume [Entitic volume] in Blood by Automated count,32623-1,fL,"6,5 - 12"
lab-pan-128,,Trombotsitlar anizotsitozi (PDW),Ширина распределения тромбоцитов (PDW),Platelet distribution width [Entitic volume] in Blood by Automated count,32207-3,,"9,0 - 17,0"
lab-pan-129,,Trombokrit (PCT),Тромбокрит (PCT),Plateletcrit [Volume Fraction] of Blood by Automated count,28542-9,%,"0,108 - 0,282"
lab-pan-130,,Yirik trombotsitlar soni (P-LCC),Количество крупных тромбоцитов (P-LCC),Platelet large cell count [#/volume] in Blood by Automated count,49498-9,10^9/L,30 - 90
lab-pan-131,,Yirik trombotsitlar ulushi (P-LCR),Доля крупных тромбоцитов (P-LCR),Platelet large cell ratio [#] in Blood by Automated count,49138-3,%,"11,0 45,0"
lab-pan-132,,Eritrotsitning cho'kish tezligi (ЭЧТ),Скорость оседания эритроцитов (СОЭ),Erythrocyte sedimentation rate (ESR) by Westergren method,4537-7,,
lab-pan-133,,IMG#,IMG#,Immature granulocytes [#/volume] in Blood by Automated count (IMG#),53115-2,10^9/L,
lab-pan-134,,NRBC#,NRBC#,Nucleated erythrocytes/Leukocytes [Ratio] in Blood (NRBC#),771-6,10^9/L,
lab-pan-135,,NRBC%,NRBC%,Nucleated erythrocytes/Leukocytes [Ratio] in Blood (NRBC%) ,19048-8,/10WBC,
lab-pan-136,,Miyelositlar,Миелоциты,Myelocytes [#/volume] in Blood,30446-9,,
lab-pan-137,,Metamiyelositlar,Метамиелоциты,Metamyelocytes [Presence] in Blood,40651-2 	,,
lab-pan-138,,Tayoqcha yadroli neytrofil,Tayoqcha yadroli neytrofil,Band form neutrophils/Leukocytes in Blood,26508-2,,
lab-pan-139,,Plazmatik hujayralar,Плазматические клетки,Plasma cells/Leukocytes in Blood,13047-6,%,
